# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 75 845 266 240
p 2 0 49 871 253 223
p 2 0 37 883 239 212
p 2 0 61 859 253 229
p 2 0 21 899 199 193
p 2 0 51 869 239 223
p 2 0 28 892 218 200
p 2 0 41 879 233 214
p 2 0 59 861 242 227
p 2 0 42 878 229 214
p 2 0 22 898 212 198
p 2 0 43 877 239 215
p 2 0 61 859 262 231
p 2 0 54 866 245 224
p 2 0 79 841 274 246
p 2 0 48 872 234 220
p 2 0 47 873 246 220
p 2 0 79 841 634 249
p 2 0 44 876 919 220
p 2 0 49 871 957 221
p 2 0 45 875 956 222
p 2 0 46 874 1008 222
p 2 0 75 845 1080 247
p 2 0 24 896 933 203
p 2 0 52 868 1041 229
p 2 0 49 871 992 228
p 2 0 61 859 868 241
p 2 0 65 855 635 245
p 2 0 125 795 503 308
i 2 920 0 0 23759 3774
p 2 0 569 351 1084 747
p 2 0 522 398 3722 693
p 2 0 321 599 5382 512
p 2 0 292 628 5555 478
p 2 0 241 679 5383 429
p 2 1 215 704 6553 434
p 2 0 184 736 5806 375
p 2 0 129 791 5464 336
p 2 2 162 756 6643 399
p 2 0 152 768 5926 363
p 2 1 135 784 6461 387
p 2 0 123 797 5841 334
p 2 0 160 760 5194 368
p 2 2 246 672 1849 472
p 2 0 161 759 1084 361
p 2 0 160 760 612 334
p 2 0 108 812 372 273
p 2 0 98 822 341 261
p 2 0 89 831 345 259
p 2 0 107 813 327 273
p 2 0 153 767 858 337
p 2 1 136 783 1094 347
p 2 0 127 793 446 300
p 2 1 104 815 572 303
p 2 0 65 855 272 234
p 2 3 90 827 1320 304
p 2 0 60 860 291 230
p 2 1 91 828 890 292
p 2 0 96 824 345 264
p 2 2 107 811 1126 312
p 2 0 105 815 439 275
p 2 0 81 839 351 251
p 2 1 97 822 520 310
p 2 0 62 858 288 233
p 2 0 83 837 311 249
p 2 2 503 415 6821 856
p 2 0 350 570 1374 540
p 2 0 258 662 1247 450
p 2 3 512 405 6563 852
p 2 0 342 578 1424 526
p 2 0 205 715 930 392
p 2 1 501 418 6525 858
p 2 0 339 581 1089 512
p 2 0 313 607 3454 575
p 2 0 254 666 712 421
p 2 2 260 658 3541 542
p 2 0 223 697 739 394
p 2 2 211 707 3434 492
p 2 0 161 759 554 335
p 2 0 106 814 404 278
p 2 1 231 688 3433 478
p 2 0 156 764 556 331
p 2 0 172 748 616 348
p 2 0 135 785 479 303
p 2 1 167 752 631 353
p 2 0 78 842 320 248
p 2 0 122 798 418 293
p 2 0 80 840 311 248
p 2 0 140 780 510 311
p 2 0 122 798 406 286
p 2 0 90 830 308 255
p 2 0 66 854 304 233
p 2 0 81 839 324 249
p 2 0 87 833 302 247
p 2 0 78 842 308 247
p 2 4 407 509 7085 801
p 2 0 254 666 795 435
p 2 0 215 705 607 384
p 2 0 326 594 5976 678
p 2 0 227 693 775 404
p 2 0 145 775 448 316
p 2 1 296 623 6602 671
p 2 0 224 696 759 404
p 2 0 195 725 490 349
p 2 1 365 554 6987 728
p 2 0 248 672 775 421
p 2 0 134 786 413 299
p 2 0 282 638 5571 614
p 2 0 247 673 749 419
p 2 0 140 780 465 309
p 2 0 291 629 5155 575
p 2 0 163 757 637 346
p 2 0 132 788 419 296
p 2 0 282 638 4551 553
p 2 0 189 731 663 364
p 2 0 163 757 615 338
p 2 0 117 803 760 299
p 2 0 134 786 491 307
p 2 0 165 755 489 323
p 2 1 86 833 645 272
p 2 0 62 858 294 235
p 2 0 59 861 290 230
p 2 2 63 855 803 264
p 2 0 78 842 317 247
p 2 0 90 830 377 257
p 2 0 90 830 586 272
p 2 0 68 852 291 236
p 2 0 54 866 274 225
p 2 0 77 843 668 257
p 2 0 98 822 338 261
p 2 0 110 810 401 276
p 2 1 104 815 650 285
p 2 0 49 871 269 222
p 2 0 40 880 248 214
p 2 1 90 829 660 273
p 2 0 51 869 299 222
p 2 0 70 850 288 240
p 2 0 47 873 615 228
p 2 0 50 870 273 221
p 2 0 69 851 300 238
p 2 0 66 854 506 244
p 2 0 55 865 282 227
p 2 0 55 865 268 225
p 2 0 53 867 611 235
p 2 0 43 877 255 213
p 2 0 53 867 261 221
p 2 0 62 858 504 242
p 2 0 58 862 294 229
p 2 0 60 860 269 227
p 2 0 51 869 417 236
p 2 0 40 880 250 211
p 2 0 48 872 262 219
p 2 2 53 865 756 253
p 2 0 43 877 266 214
p 2 0 67 853 286 233
p 2 0 54 866 494 236
p 2 0 33 887 243 207
p 2 0 42 878 260 213
p 2 0 68 852 617 242
p 2 0 113 807 2891 322
p 2 0 101 819 4923 308
p 2 0 116 804 5476 333
p 2 0 116 804 5222 327
p 2 0 91 829 5633 302
p 2 0 105 815 6060 324
p 2 0 97 823 5404 306
p 2 0 105 815 5734 313
p 2 0 113 807 5931 334
p 2 0 142 778 5271 353
p 2 0 155 765 3535 388
p 2 0 299 621 2415 546
i 2 920 0 0 54134 4412
p 2 0 910 10 12110 1470
p 2 0 916 4 16727 1536
p 2 0 917 3 17968 1551
p 2 0 910 10 18521 1551
p 2 0 917 3 18681 1567
p 2 0 917 3 19635 1580
p 2 0 915 5 18898 1578
p 2 0 917 3 19454 1576
p 2 0 917 3 19631 1567
p 2 0 916 4 19473 1583
p 2 0 917 3 19842 1589
p 2 0 915 5 19318 1579
p 2 0 918 2 19657 1564
p 2 0 916 4 18049 1559
p 2 0 912 8 18473 1561
p 2 0 919 1 18058 1563
p 2 0 917 3 18202 1558
p 2 0 915 5 18642 1550
p 2 0 919 1 18209 1561
p 2 0 906 14 18853 1553
p 2 0 916 4 18197 1548
p 2 0 911 9 18602 1557
p 2 0 918 2 18378 1566
p 2 0 903 17 18694 1554
p 2 0 919 1 18443 1583
p 2 0 912 8 18507 1559
p 2 0 917 3 18315 1555
p 2 0 915 5 18753 1569
p 2 0 919 1 18370 1566
p 2 0 909 11 18654 1555
p 2 0 919 1 18459 1574
p 2 0 910 10 18783 1562
p 2 0 913 7 18486 1556
